Елена Геннадьевна Кудашева,M. Akmullah Bashkir State Pedagogical University,RU,"Holomorphic and Operator Theory
Analytic and geometric function theory
Meromorphic and Entire Functions","The distribution of the zeros of holomorphic functions of moderate growth in the unit disc and the representation of meromorphic functions there (8 citations)
Распределение нулей голоморфных функций умеренного роста в единичном круге и представление в нем мероморфных функций (5 citations)
Dual construction and existence of (pluri)subharmonic minorant (1 citations)"
E. Koldunov,,,"Geometric and Algebraic Topology
Advanced Graph Theory Research
Finite Group Theory Research",CayleyPy Growth: Efficient growth computations and hundreds of new conjectures on Cayley graphs (Brief version) (0 citations)
Elena V. Konstantinova,Irkutsk State University,RU,"Graph theory and applications
graph theory and CDMA systems
Finite Group Theory Research","The Discrimination Ability of Some Topological and Information Distance Indices for Graphs of Unbranched Hexagonal Systems (118 citations)
Electronic and elastic properties of two-dimensional carbon planes (107 citations)
Application of hypergraph theory in chemistry (79 citations)"
Elizaveta Geraseva,Bioengineering Center,RU,"RNA and protein synthesis mechanisms
Protein Structure and Dynamics
Machine Learning in Bioinformatics","Zebra2: advanced and easy-to-use web-server for bioinformatic analysis of subfamily-specific and conserved positions in diverse protein superfamilies (27 citations)
Nucleic Acid-Protein Interaction Prediction Using Geometric Deep Learning (3 citations)
Deep Learning Methods for Binding Site Prediction in Protein Structures (2 citations)"
Fedor Levkovich-Maslyuk,Universidad de Londres,MX,"Black Holes and Theoretical Physics
Algebraic structures and combinatorial models
Quantum Chromodynamics and Particle Interactions","Pomeron Eigenvalue at Three Loops in N=4 Supersymmetric Yang-Mills Theory (88 citations)
Quantum corrections to spinning superstrings in AdS3 × S3 × M 4: determining the dressing phase (81 citations)
Quantum spectral curve and structure constants in $$ \mathcal{N}=4 $$ SYM: cusps in the ladder limit (79 citations)"
Fedor Petrov,Steklov Mathematical Institute,RU,"Limits and Structures in Graph Theory
Advanced Combinatorial Mathematics
Point processes and geometric inequalities","Dynamics of Lane Formation in Driven Binary Complex Plasmas (161 citations)
Congruences on sums of q-binomial coefficients (106 citations)
A remark on the Mahler conjecture: Local minimality of the unit cube (60 citations)"
G. Antiufeev,Moscow State Industrial University,RU,"Complexity and Algorithms in Graphs
Advanced Graph Neural Networks
Topological and Geometric Data Analysis",CayleyPy RL: Pathfinding and reinforcement learning on Cayley graphs (0 citations)
G. Verbii,Lomonosov Moscow State University,RU,"Complexity and Algorithms in Graphs
Advanced Graph Neural Networks
Topological and Geometric Data Analysis",CayleyPy RL: Pathfinding and reinforcement learning on Cayley graphs (0 citations)
Hervé Isambert,Institut Curie,FR,"Bioinformatics and Genomic Networks
RNA and protein synthesis mechanisms
Bayesian Modeling and Causal Inference","Flexibility of Actin Filaments Derived from Thermal Fluctuations (636 citations)
Kinefold web server for RNA/DNA folding path and structure prediction including pseudoknots and knots (273 citations)
Dynamics and Rheology of Actin Solutions (209 citations)"
S. I. Kiselev,,,"Laser-Plasma Interactions and Diagnostics
Quantum, superfluid, helium dynamics
Magnetic properties of thin films","A laser–plasma accelerator producing monoenergetic electron beams (2111 citations)
Microwave oscillations of a nanomagnet driven by a spin-polarized current (2028 citations)
Production of a keV X-Ray Beam from Synchrotron Radiation in Relativistic Laser-Plasma Interaction (661 citations)"
